SalePrice,id
116592.993995,1461
156729.044485,1462
185953.476995,1463
200204.660014,1464
208225.099084,1465
174785.093559,1466
183654.158169,1467
165818.324761,1468
204948.079192,1469
117593.938765,1470
188114.76903,1471
98689.6624011,1472
96889.5052322,1473
146353.033297,1474
108352.716091,1475
349322.599977,1476
263469.51984,1477
295208.063411,1478
295241.858261,1479
439333.847164,1480
345784.834659,1481
227114.274131,1482
182358.892333,1483
161521.869364,1484
200625.533762,1485
199713.04395,1486
335718.931538,1487
244588.903208,1488
196600.402979,1489
225895.41211,1490
198196.726288,1491
91579.0590444,1492
201283.247388,1493
312807.548214,1494
305591.883885,1495
227307.302791,1496
184592.550962,1497
166547.349884,1498
163067.957183,1499
156103.883394,1500
176209.4487,1501
149728.902184,1502
277848.278131,1503
247644.262857,1504
227801.251166,1505
196022.885714,1506
244132.855363,1507
206023.469384,1508
163827.923912,1509
145464.283122,1510
149168.934108,1511
176849.333967,1512
152389.693825,1513
157626.081658,1514
203656.045631,1515
161619.199746,1516
179514.664566,1517
132090.400501,1518
212188.39476,1519
128963.770526,1520
134259.221275,1521
180978.995463,1522
113014.145787,1523
131257.350317,1524
117965.393332,1525
118064.536231,1526
111858.675077,1527
145154.206115,1528
149749.703575,1529
187192.487173,1530
110359.958124,1531
100301.270029,1532
149500.552312,1533
131813.289293,1534
153258.956334,1535
111605.830272,1536
66050.977113,1537
161561.656565,1538
207600.125328,1539
85983.4937281,1540
144585.961559,1541
141404.180136,1542
182895.215336,1543
88143.3153682,1544
122874.962595,1545
140571.022321,1546
126643.413501,1547
140874.485466,1548
122499.376118,1549
138058.116942,1550
112680.805656,1551
129376.573578,1552
148781.468038,1553
120108.916141,1554
164027.654719,1555
91595.8702741,1556
109472.790579,1557
104460.480419,1558
93033.5509344,1559
132562.216245,1560
130006.811815,1561
131900.280643,1562
118567.384537,1563
161253.506654,1564
151052.967444,1565
248207.729637,1566
79662.5192658,1567
235322.824282,1568
127840.891599,1569
143512.840836,1570
133812.129749,1571
142731.979128,1572
227504.346338,1573
121653.137968,1574
232160.562781,1575
252504.538213,1576
179321.543394,1577
153818.834189,1578
151762.624381,1579
201340.460164,1580
160040.973363,1581
125763.907071,1582
289140.167819,1583
217537.528633,1584
138223.21389,1585
64493.6814972,1586
107116.607939,1587
149835.506868,1588
100852.106538,1589
137542.191459,1590
92697.3255819,1591
125051.089602,1592
126602.206143,1593
126907.131782,1594
112933.736198,1595
225661.527602,1596
198677.274988,1597
242041.100686,1598
174719.9533,1599
166512.260928,1600
61586.1841278,1601
116274.823906,1602
79089.985991,1603
258332.390951,1604
